AV,SiOSi_std,SiOSi_min,g_dft,SiO_gmean,SiOSi_gmean,SiOSi_skew,k_dft,SiOSi_average,spg,SiOSi_hmean,largest_included_sphere,SiOSi_var,mode_dim,SiO_var,SiOSi_max,NASA,VolFrac,volume,SiO_mean,NAV,max_dim,SiO_min,SiO_skew,ASA,largest_included_sphere_free,SiOSi_mean,SiO_average,density,min_dim,SiO_max,largest_free_sphere,SiO_std,SiO_hmean
0,13.67665704,127.8479591,19.46974058,1.613342073,142.1087935,1.111941284,35.60362747,142.7246262,1,141.5311234,2.75692,187.0509479,0,0.000115414,176.7039838,0,0,14.07555885,1.613377734,1.69E-05,0,1.597195057,0.686900845,0,2.75692,142.7246262,1.613377734,2.362779503,0,1.634728048,1.82941,0.010743086,1.61330652
0,13.52942038,126.8485681,25.67816745,1.613135382,146.6962815,0.259464556,28.84549641,147.3114029,2,146.0887971,3.23052,183.0452157,0,9.53E-05,171.2939017,0,0,14.70515513,1.613164806,0.000495223,0,1.602871835,0.993717917,0,3.23052,147.3114029,1.613164806,2.261617892,0,1.633230345,1.7936,0.009762637,1.613106076
0,13.14706143,133.6490031,31.6666666,1.612792726,150.5178549,0.909875149,38.54902026,151.0644564,2,149.9962074,3.31336,172.8452242,0,0.000122456,180,0,0,15.90861039,1.61283045,0.000994968,0,1.601284065,1.396417219,0,3.30432,151.0644564,1.61283045,2.090530923,0,1.644047509,2.19733,0.011065985,1.612755239
0,11.91159928,118.4791444,42.21365383,1.614886277,141.3393829,-0.028092384,43.49296013,141.8437132,2,140.8310096,2.80014,141.8861974,0,0.000227053,164.7058646,0,0,13.64995993,1.614956661,8.21E-05,0,1.592650531,-0.189122196,0,2.80014,141.8437132,1.614956661,2.436449785,0,1.636246537,1.35004,0.015068289,1.61481581
0,12.76265391,125.4715369,33.72147924,1.605951795,145.1839823,-0.129102084,39.42721647,145.7499643,2,144.6122154,2.0311,162.8853348,0,0.000189092,166.598229,0,0,13.33470291,1.606010283,0,0,1.590283363,1.155133747,0,1.91928,145.7499643,1.606010283,2.494051961,0,1.635631065,0.79084,0.013751062,1.605893687
0,13.65312768,136.8446192,35.71441219,1.607719082,153.1315041,0.40450825,56.6507663,153.7264451,2,152.5494263,3.11258,186.4078954,0,0.000235855,180,0,0,14.33486154,1.607792464,0.000301721,0,1.582472683,-0.064715841,0,3.10787,153.7264451,1.607792464,2.320039287,0,1.632277439,1.00581,0.015357576,1.607645665
0,7.509627853,153.1861277,27.69931248,1.614449714,174.4055078,-1.892025085,25.46230634,174.5766021,2,174.2243072,2.78362,56.3945105,0,0.000844337,180,0,0,17.14049535,1.614703946,4.12E-05,0,1.591425676,2.401242026,0,2.78362,174.5766021,1.614703946,1.940284762,0,1.70773114,1.90075,0.029057475,1.614202481
0,13.1724982,135.0753988,28.37749942,1.611151845,154.714294,0.313558429,30.66534538,155.2667021,2,154.1687084,2.98291,173.5147088,0,0.000124111,180,0,0,16.11692486,1.61119008,0.00021323,0,1.601186176,1.596491527,0,2.98291,155.2667021,1.61119008,2.063510392,0,1.638249365,2.11149,0.011140531,1.611113887
0,12.7123826,132.4013711,33.2190947,1.613491025,152.2971572,0.235574343,55.30153684,152.8226163,2,151.7750518,3.36202,161.6046714,0,0.000184694,180,0,0,15.63156545,1.613548295,0.00271671,0,1.591921187,-0.112060665,0,3.36103,152.8226163,1.613548295,2.127582298,0,1.632125798,1.44471,0.013590202,1.613433717
0,9.704359718,149.2581297,28.745717,1.615143621,167.9326642,-0.294207402,29.84751198,168.2164185,2,167.6453537,2.78074,94.17459753,0,0.000130644,180,0,0,16.7615027,1.61518405,1.01E-05,0,1.59887732,0.075711077,0,2.76309,168.2164185,1.61518405,1.984156346,0,1.632017734,1.54746,0.011429967,1.615103206
